Program,HH_Composition,HH_Income,Housing_Cost,Education_Track,Gentrification,Graduated,Education_TrackY
REG,1,12220,10752,,4,0,0
REG,3,7540,14388,,4,0,0
REG,2,43167,19764,,4,0,0
REG,2,43167,19764,,4,0,0
REG,1,7540,19824,,4,0,0
PHRR,4,35396,19464,,4,0,0
PHRR,6,35802,20976,,3,0,0
PHRR,6,35802,20976,,3,0,0
PHRR,6,35802,20976,,3,0,0
REG,3,9000,9708,,4,0,0
FLOW,3,11422,14868,Job Placement for Long Term Unemployed,4,0,1
REG,2,15298,15348,,4,0,0
REG,2,13840,13188,,4,0,0
REG,3,22650,19944,,4,0,0
REG,3,19500,21792,,4,0,0
REG,3,19500,21792,,4,0,0
REG,5,28675,20400,,4,0,0
REG,2,37360,12084,,4,0,0
REG,4,11293,19764,,4,0,0
REG,3,16040,14928,,4,0,0
REG,2,9252,17364,,4,0,0
PHRR,4,54299,21480,,4,0,0
PHRR,4,54299,21480,,4,0,0
PHRR,4,54299,21480,,4,0,0
FLOW,3,35104,20364,,4,0,0
CRSHP,2,22894,28764,,0,0,0
FUPF,6,4920,23904,,3,0,0
REG,6,27979,26208,,4,0,0
REG,6,27979,26208,,4,0,0
REG,6,27979,26208,,4,0,0
FLOW,1,30888,17988,Job Placement for Long Term Unemployed,4,0,1
REG,3,19159,19764,,4,0,0
FUPF,4,1300,23748,,4,0,0
PHRR,3,28891,17388,,3,0,0
REG,2,27831,15828,,3,0,0
REG,6,36492,25524,,4,0,0
REG,4,14912,21816,Job Placement for Long Term Unemployed; Youth Development Ed and After School Programs,4,0,1
REG,4,14912,21816,Job Placement for Long Term Unemployed; Youth Development Ed and After School Programs,4,0,1
REG,7,22880,23832,,3,0,0
REG,7,22880,23832,,3,0,0
REG,1,8736,13908,,4,0,0
REG,6,8892,26376,Behavioral Health Counseling and Services,4,0,1
REG,3,28000,14388,,3,0,0
REG,3,28000,14388,,3,0,0
REG,2,17108,16188,,4,0,0
REG,4,11687,19176,,4,0,0
FLOW,5,9252,26808,,4,0,0
FLOW,5,9252,26808,,4,0,0
REG,3,20561,21564,,4,0,0
PHRR,4,16380,19692,,4,0,0
REG,3,33702,12876,,4,0,0
REG,2,0,17244,Workforce Development Training,4,0,1
REG,2,0,17244,,4,0,0
REG,6,11440,31332,,4,0,0
REG,3,18543,15456,,4,0,0
REG,2,28364,17436,,3,0,0
REG,4,19136,20376,,4,0,0
REG,4,19136,20376,,4,0,0
REG,6,20475,21084,,4,0,0
REG,3,24576,19212,,4,0,0
REG,1,26916,21408,,0,0,0
REG,4,19860,19128,,4,0,0
REG,6,27040,28476,,4,0,0
HOPE6,3,9396,20976,,4,0,0
HOPE6,3,9396,20976,,4,0,0
REG,2,20892,14208,,4,0,0
REG,3,21048,17364,,2,0,0
PHRR,5,16380,26340,,3,0,0
HOPE6,2,34929,16548,,3,0,0
HOPE6,2,34929,16548,,3,0,0
REG,2,41331,21564,,4,0,0
REG,2,41331,21564,,4,0,0
REG,5,14197,18636,,4,0,0
REG,1,0,12396,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,2,69318,12828,,3,0,0
REG,1,31970,14328,GED Preparation,4,0,1
REG,4,0,17604,,3,0,0
REG,2,18980,24828,,1,0,0
REG,2,33864,19068,,4,0,0
REG,4,38652,21564,Behavioral Health Counseling and Services,3,0,1
REG,4,38652,21564,,3,0,0
FUPF,2,4285,15504,Job Placement for Long Term Unemployed,3,0,1
FUPF,2,4285,15504,GED Preparation,3,0,1
FUPF,2,4285,15504,Job Placement for Long Term Unemployed,3,0,1
FUPF,2,4285,15504,Workforce Development Training,3,0,1
FUPF,2,4285,15504,,3,0,0
REG,7,9984,19800,,4,0,0
HOPE6,4,29887,20976,Job Skills Training,3,0,1
REG,3,13000,18576,,4,0,0
REG,3,13000,18576,,4,0,0
REG,3,13000,18576,,4,0,0
REG,7,6168,26808,,4,0,0
REG,4,53229,18576,,4,0,0
REG,4,53229,18576,,4,0,0
REG,4,17702,19116,,3,0,0
REG,4,17702,19116,,3,0,0
REG,1,8996,10212,Adult Literacy,4,0,1
REG,3,18957,19524,,3,0,0
PHRR,3,44000,14520,,4,0,0
PHRR,3,44000,14520,,4,0,0
REG,2,18236,21972,,0,0,0
REG,3,21020,14592,,4,0,0
REG,5,14835,22524,,4,0,0
REG,2,21632,24276,,4,0,0
REG,3,44126,17400,,2,0,0
REG,3,44126,17400,,2,0,0
REG,2,11800,14268,,4,0,0
REG,2,11800,14268,,4,0,0
REG,1,24566,13272,,4,0,0
REG,7,21428,26340,,4,0,0
REG,7,21428,26340,,4,0,0
REG,7,28888,22716,,4,0,0
REG,7,28888,22716,,4,0,0
REG,4,44803,19668,,4,0,0
REG,4,7748,17568,,3,0,0
REG,2,16175,13608,,4,0,0
PHRR,4,21289,23748,,4,0,0
PHRR,4,21289,23748,,4,0,0
REG,3,28908,15900,Workforce Development Training,3,0,1
REG,3,28908,15900,,3,0,0
REG,3,21919,22596,,4,0,0
REG,2,23681,13728,,4,0,0
REG,3,22673,13932,,3,0,0
REG,5,21778,21324,,3,0,0
REG,5,21778,21324,,3,0,0
REG,5,21778,21324,,3,0,0
REG,2,27117,14916,,4,0,0
REG,4,30212,10788,,3,0,0
PHRR,2,25454,23076,,4,0,0
FUPF,6,40333,20244,,3,0,0
FUPF,6,40333,20244,,3,0,0
REG,2,30946,14208,,4,0,0
REG,2,13318,22032,,2,0,0
FUPF,6,9396,12252,,3,0,0
REG,2,21464,11808,,4,0,0
REG,2,0,14328,,2,0,0
REG,3,39886,18900,Job Skills Training,3,0,1
REG,3,39886,18900,,3,0,0
REG,3,39886,18900,,3,0,0
REG,2,0,14460,,4,0,0
REG,5,11433,24408,,4,0,0
REG,5,11433,24408,,4,0,0
REG,5,11433,24408,,4,0,0
PHRR,3,5772,19404,,3,0,0
REG,3,19520,14928,,3,0,0
PHRR,7,10940,37188,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
PHRR,7,10940,37188,,4,0,0
PHRR,7,10940,37188,,4,0,0
PHRR,7,10940,37188,,4,0,0
PHRR,5,27393,22776,,4,0,0
REG,5,11688,19296,,4,0,0
REG,5,11688,19296,,4,0,0
REG,5,23227,20832,,3,0,0
REG,5,23227,20832,,3,0,0
FUPF,4,42370,18036,,3,0,0
REG,2,8425,19176,,4,0,0
REG,2,8425,19176,,4,0,0
FUPF,4,19441,22656,Job Placement for Long Term Unemployed,4,0,1
REG,2,22537,12600,,3,0,0
PHRR,2,19447,11016,,4,0,0
REG,1,16698,15708,,3,0,0
REG,2,32945,18072,,4,0,0
REG,3,48394,19476,Workforce Development Training,3,0,1
REG,3,48394,19476,Workforce Development Training,3,0,1
REG,3,48394,19476,Workforce Development Training,3,0,1
REG,3,48394,19476,Workforce Development Training,3,0,1
REG,3,48394,19476,,3,0,0
REG,6,29374,22512,,4,0,0
REG,3,23033,14532,,4,0,0
REG,3,23033,14532,,4,0,0
REG,4,14905,17580,,4,0,0
REG,3,30196,20472,,4,0,0
REG,2,20686,19164,,3,0,0
FUPF,4,14759,15456,Job Placement for Long Term Unemployed,4,0,1
FUPF,4,14759,15456,Workforce Development Training,4,0,1
FUPF,4,14759,15456,Workforce Development Training,4,0,1
REG,2,26688,16680,,3,0,0
REG,4,7748,15552,,4,0,0
REG,3,19494,19668,,3,0,0
REG,3,13156,23004,,4,0,0
REG,3,39546,16788,,4,0,0
REG,3,39546,16788,,4,0,0
MS5,4,35567,23040,,3,0,0
MS5,4,35567,23040,,3,0,0
REG,2,17269,20304,,4,0,0
REG,2,17269,20304,,4,0,0
REG,2,29106,18948,,4,0,0
REG,4,33225,23016,,4,0,0
REG,4,16756,16968,,4,0,0
REG,6,41024,27624,,3,0,0
REG,6,41024,27624,,3,0,0
REG,6,22558,24408,,4,0,0
REG,6,22558,24408,,4,0,0
REG,4,6092,24468,,4,0,0
REG,5,32412,28536,,3,0,0
REG,2,8820,16128,,4,0,0
REG,5,32412,28536,,3,0,0
REG,2,22608,16776,,4,0,0
PHRR,5,8522,19608,,4,0,0
PHRR,5,8522,19608,,4,0,0
REG,2,32076,16632,,4,0,0
REG,2,32076,16632,,4,0,0
REG,4,16819,20964,,4,0,0
REG,5,20425,20376,,4,0,0
REG,4,17160,21456,,4,0,0
REG,2,15600,16272,,3,0,0
REG,6,39866,26808,,4,0,0
FUPF,3,15912,20544,,4,0,0
REG,3,16228,15948,,4,0,0
HOPE6,3,11291,17424,,3,0,0
REG,3,12244,18852,,3,0,0
REG,3,12244,18852,,3,0,0
PHRR,3,8736,16488,,4,0,0
PHRR,3,8736,16488,,4,0,0
REG,4,36693,22548,,4,0,0
REG,3,18980,22380,,0,0,0
REG,4,13468,18384,,4,0,0
REG,6,22300,21108,,4,0,0
PHRR,3,31557,18912,,4,0,0
PHRR,3,31557,18912,,4,0,0
REG,3,24234,20508,,4,0,0
FLOW,4,24842,22176,,4,0,0
FLOW,4,24842,22176,,4,0,0
REG,2,18980,13332,,4,0,0
REG,3,9396,22128,,4,0,0
REG,8,9252,24252,,4,0,0
REG,8,9252,24252,,4,0,0
PHRR,6,17160,11772,Adult Literacy,0,0,1
REG,1,26280,19020,,3,0,0
REG,5,39272,23232,Health Care Services,3,0,1
REG,5,39272,23232,Behavioral Health & Counseling,3,0,1
REG,5,39272,23232,,3,0,0
REG,5,39272,23232,,3,0,0
REG,4,0,18876,,4,0,0
HOPE6,5,25267,20076,Job Placement for Long Term Unemployed,4,0,1
HOPE6,5,25267,20076,,4,0,0
REG,4,9396,15840,,4,0,0
REG,4,9396,15840,,4,0,0
REG,4,22526,17892,,4,0,0
REG,4,22526,17892,,4,0,0
REG,3,13260,20508,Behavioral Health Counseling and Services,4,0,1
REG,3,13260,20508,Employment Prep Placement and Retention Services,4,0,1
REG,3,13260,20508,Job Placement for Long Term Unemployed,4,0,1
REG,3,13260,20508,Behavioral Health & Counseling,4,0,1
REG,3,13260,20508,Workforce Development Training,4,0,1
REG,4,15636,20364,,2,0,0
FLOW,2,20196,12912,,3,0,0
REG,6,12523,13308,Job Placement for Long Term Unemployed,4,0,1
REG,6,12523,13308,,4,0,0
REG,2,40145,23640,,3,0,0
REG,2,40145,23640,,3,0,0
REG,2,26895,18600,,3,0,0
REG,3,26943,14328,,4,0,0
REG,2,19500,15276,,4,0,0
REG,2,19500,15276,,4,0,0
REG,4,19863,23508,,3,0,0
REG,4,24960,20292,,3,0,0
REG,3,21636,20136,,3,0,0
REG,1,7384,11664,,4,0,0
REG,4,9490,27348,,0,0,0
PHRR,1,18200,13296,Job Placement for Long Term Unemployed,2,0,1
PHRR,1,18200,13296,Behavioral Health Counseling and Services,2,0,1
REG,5,33412,30804,,3,0,0
REG,5,33412,30804,,3,0,0
REG,4,31363,21720,,4,0,0
REG,4,31363,21720,,4,0,0
HFV,5,12188,30540,,3,0,0
FUPF,3,23908,21000,,3,0,0
FUPF,3,23908,21000,,3,0,0
REG,5,36052,23676,,4,0,0
REG,2,25925,13668,,4,0,0
REG,2,14175,13032,,4,0,0
FUPF,7,2820,24936,,4,0,0
FLOW,2,792,13008,,4,0,0
REG,3,21160,14892,,2,0,0
REG,2,16968,19872,,4,0,0
REG,5,16640,20832,,4,0,0
REG,2,6200,17988,,4,0,0
REG,1,1800,15636,,4,0,0
REG,6,0,29700,Workforce Development Training,4,0,1
REG,6,0,29700,Workforce Development Training,4,0,1
REG,6,0,29700,,4,0,0
REG,6,9206,21648,,4,0,0
REG,5,33518,21348,,4,0,0
REG,5,33518,21348,,4,0,0
REG,5,33518,21348,,4,0,0
REG,2,38368,24024,,1,0,0
REG,3,11364,24876,,3,0,0
REG,3,38628,20052,,4,0,0
REG,3,38628,20052,,4,0,0
REG,2,35751,17388,,3,0,0
REG,5,43155,14880,,2,0,0
REG,5,43155,14880,,2,0,0
REG,5,43155,14880,,2,0,0
REG,2,9768,17328,,4,0,0
REG,2,16080,16188,,3,0,0
REG,9,36948,28968,GED Preparation,3,0,1
REG,9,36948,28968,,3,0,0
REG,3,25156,19596,,4,0,0
REG,5,19226,23556,,3,0,0
REG,1,9360,15768,Employment Prep Placement and Retention Services,4,0,1
REG,2,9708,14328,,4,0,0
REG,2,12876,12372,,4,0,0
REG,3,11310,18228,Job Placement for Long Term Unemployed,2,0,1
REG,3,11310,18228,,2,0,0
REG,1,30960,12792,,4,0,0
REG,3,13883,18900,,4,0,0
REG,1,0,11724,Job Placement for Long Term Unemployed,4,0,1
PAV,3,0,14748,,4,0,0
PHRR,3,44430,17784,,4,0,0
PHRR,3,44430,17784,,4,0,0
PHRR,3,44430,17784,,4,0,0
PHRR,1,0,23700,,4,0,0
REG,2,11160,13596,,3,0,0
REG,3,13156,23112,,4,0,0
REG,5,28257,22404,,4,0,0
REG,4,9568,13128,Job Placement for Long Term Unemployed,4,0,1
REG,4,31548,18948,,4,0,0
REG,2,37584,17856,,4,0,0
REG,2,37584,17856,,4,0,0
PHRR,6,14976,31512,,4,0,0
REG,4,22258,15912,,4,0,0
REG,4,22258,15912,,4,0,0
FLOW,6,19757,30072,,4,0,0
FLOW,2,23932,25968,,1,0,0
FLOW,2,23932,25968,,1,0,0
REG,1,24627,11424,,4,0,0
REG,5,0,18288,,4,0,0
REG,5,0,18288,,4,0,0
REG,2,38957,19164,,0,0,0
REG,4,18980,26028,,4,0,0
FLOW,5,18504,18276,,4,0,0
REG,2,12072,25296,,3,0,0
REG,2,9396,14232,,2,0,0
REG,1,29787,14772,,4,0,0
REG,8,15204,31392,,4,0,0
REG,4,20664,20748,,0,0,0
REG,4,20664,20748,,0,0,0
REG,3,5300,17244,,4,0,0
REG,4,16080,22776,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,4,16080,22776,,4,0,0
VASH,1,3380,12816,,4,0,0
REG,1,1800,12264,Behavioral Health Counseling and Services,4,0,1
FUPF,1,11323,7896,Employment Prep Placement and Retention Services,4,0,1
FUPF,1,11323,7896,Job Placement for Long Term Unemployed,4,0,1
REG,5,9360,25980,,3,0,0
REG,5,9360,25980,,3,0,0
REG,2,39035,22968,,3,0,0
REG,2,39035,22968,,3,0,0
REG,5,10304,25080,,3,0,0
REG,5,10304,25080,,3,0,0
REG,5,10304,25080,,3,0,0
REG,1,11284,15084,,4,0,0
REG,1,22154,11076,,4,0,0
REG,2,27508,16392,,4,0,0
REG,3,18304,16008,,4,0,0
PHRR,4,15694,21276,,3,0,0
REG,3,16640,13188,Job Placement for Long Term Unemployed,4,0,1
REG,6,11712,20652,,4,0,0
REG,6,11712,20652,,4,0,0
PHRR,1,9752,12924,,4,0,0
REG,5,8780,21564,,4,0,0
REG,6,32720,19500,,3,0,0
NED,3,10620,23376,,4,0,0
REG,3,49431,17376,,2,0,0
REG,3,30852,15420,,4,0,0
REG,4,21720,19740,,3,0,0
PHRR,3,20800,25716,,4,0,0
PHRR,3,20800,25716,,4,0,0
REG,3,29386,20088,,4,0,0
REG,3,40986,13368,,4,0,0
REG,2,37066,12408,,4,0,0
REG,4,26636,19260,,4,0,0
REG,1,18200,11232,Job Placement for Long Term Unemployed,4,0,1
REG,2,21864,18468,,2,0,0
REG,2,25396,15684,,3,0,0
REG,5,38246,30972,,4,0,0
REG,4,48062,24540,,4,0,0
REG,4,48062,24540,,4,0,0
REG,4,48062,24540,,4,0,0
REG,3,12480,18540,,4,0,0
REG,2,14040,13512,,4,0,0
REG,2,14040,13512,,4,0,0
REG,1,15859,11376,,4,0,0
NED,2,9636,18768,,1,0,0
PHRR,4,34720,19212,,4,0,0
PHRR,4,34720,19212,,4,0,0
REG,4,38185,21912,,3,0,0
REG,4,38185,21912,,3,0,0
REG,4,38185,21912,,3,0,0
REG,2,42307,13176,Job Placement for Long Term Unemployed,4,0,1
REG,2,33881,20208,,4,0,0
REG,6,28392,23904,,4,0,0
REG,4,9396,16836,,4,0,0
REG,1,18982,11388,,4,0,0
REG,1,10526,13272,,4,0,0
REG,2,10674,14484,,4,0,0
REG,1,7258,11388,,4,0,0
REG,1,38601,12816,,4,0,0
REG,5,9252,19548,,4,0,0
REG,5,9252,19548,,4,0,0
REG,5,9252,19548,,4,0,0
REG,3,9252,15192,,4,0,0
REG,6,9252,23988,Behavioral Health Counseling and Services,3,0,1
REG,6,9252,23988,Behavioral Health Counseling and Services,3,0,1
REG,6,9252,23988,,3,0,0
REG,4,12852,18180,,4,0,0
REG,4,12852,18180,,4,0,0
REG,1,11251,10632,,2,0,0
REG,3,23730,18612,,4,0,0
REG,2,29768,19332,,3,0,0
REG,2,29768,19332,,3,0,0
PHRR,2,0,15420,,4,0,0
REG,5,22723,23604,,3,0,0
PHRR,1,0,12708,Job Placement for Long Term Unemployed,4,0,1
REG,4,7500,21624,,4,0,0
VASH,1,13752,12792,,4,0,0
FLOW,1,20887,13500,,4,0,0
REG,5,23216,25860,,4,0,0
REG,2,9396,19632,,1,0,0
REG,2,28111,11928,,4,0,0
REG,2,28111,11928,,4,0,0
PHRR,10,41301,29112,,4,0,0
PHRR,10,41301,29112,,4,0,0
PHRR,10,41301,29112,,4,0,0
REG,2,37393,18408,Job Placement for Long Term Unemployed,4,0,1
REG,2,37393,18408,,4,0,0
REG,1,26652,9684,Job Placement for Long Term Unemployed; Job Skills Training,3,0,1
REG,3,23930,19332,,4,0,0
REG,3,44073,19800,,2,0,0
REG,4,13570,19584,,3,0,0
REG,4,13570,19584,,3,0,0
REG,4,13570,19584,,3,0,0
REG,1,30737,12408,,4,0,0
REG,3,54665,18408,,3,0,0
REG,3,54665,18408,,3,0,0
REG,3,54665,18408,,3,0,0
REG,2,19456,22788,,4,0,0
REG,5,14334,21972,,2,0,0
REG,5,14334,21972,,2,0,0
REG,2,9396,16032,,3,0,0
REG,2,22506,16920,,4,0,0
REG,1,19200,22608,,4,0,0
FUPF,5,31720,23340,Expungement and Job Placement Assistance,4,0,1
FUPF,5,31720,23340,,4,0,0
REG,2,29885,17664,,4,0,0
REG,3,23768,11388,,4,0,0
REG,4,18504,17988,,2,0,0
REG,4,14500,22812,,3,0,0
REG,5,30090,22572,,4,0,0
REG,5,30090,22572,,4,0,0
REG,4,14016,20520,,4,0,0
REG,2,29835,13764,,4,0,0
REG,2,29835,13764,,4,0,0
HOPE6,2,15392,16836,,4,0,0
PHRR,3,11432,15348,,4,0,0
REG,3,11279,17940,Job Placement for Long Term Unemployed,3,0,1
REG,3,11279,17940,,3,0,0
PHRR,2,25390,17388,,3,0,0
REG,1,27078,10728,,4,0,0
REG,4,39406,23472,,3,0,0
VASH,2,24222,20244,,0,0,0
REG,5,0,24012,Job Placement for Long Term Unemployed,4,0,1
REG,5,0,24012,,4,0,0
PHRR,3,17320,18600,Job Placement for Long Term Unemployed,3,0,1
REG,2,26775,7980,,4,0,0
REG,2,28391,20676,,4,0,0
REG,2,28391,20676,,4,0,0
REG,4,25080,23604,,4,0,0
REG,3,12741,14532,,3,0,0
HFV,1,0,10236,,4,0,0
REG,2,10075,13728,,4,0,0
REG,2,0,16440,,4,0,0
REG,2,0,16440,,4,0,0
PHRR,5,13572,21516,,2,0,0
PHRR,5,13572,21516,,2,0,0
PHRR,5,13572,21516,,2,0,0
REG,1,25278,12396,,4,0,0
PAV,2,10512,14688,,4,0,0
REG,2,24288,17184,,4,0,0
REG,2,18845,16272,,2,0,0
REG,7,39816,21240,,4,0,0
REG,5,21216,23376,,4,0,0
REG,4,56740,25116,,4,0,0
REG,4,56740,25116,,4,0,0
REG,2,8700,18552,,4,0,0
REG,3,16051,15960,,3,0,0
REG,3,16051,15960,,3,0,0
REG,2,13692,13956,,3,0,0
REG,5,19032,26364,,4,0,0
REG,1,19087,20616,,3,0,0
HOPE6,2,9492,13728,,3,0,0
REG,4,13650,14916,,4,0,0
NED,3,10146,24252,,4,0,0
NED,3,10146,24252,,4,0,0
FLOW,2,0,14928,,4,0,0
FLOW,2,0,14928,,4,0,0
REG,2,52063,15456,,4,0,0
HOPE6,2,9240,14364,,2,0,0
REG,2,9516,17004,,4,0,0
MS1 (NED-PRE2008),2,9242,12732,,4,0,0
REG,3,20002,16128,,4,0,0
REG,1,23634,11232,,4,0,0
REG,2,23416,11304,,4,0,0
REG,2,23416,11304,,4,0,0
REG,1,34939,12576,,3,0,0
REG,3,12522,18540,,4,0,0
REG,3,12522,18540,,4,0,0
REG,3,41412,20472,,2,0,0
REG,4,32953,19908,,2,0,0
REG,4,32953,19908,,2,0,0
PHRR,3,30687,22140,,4,0,0
PHRR,3,30687,22140,,4,0,0
REG,6,24442,34440,,4,0,0
REG,3,9252,37164,,3,0,0
REG,3,9252,37164,,3,0,0
PHRR,5,26706,23556,,4,0,0
FUPF,5,19868,18240,,3,0,0
FUPF,5,19868,18240,,3,0,0
REG,4,33060,17064,,3,0,0
REG,4,33060,17064,,3,0,0
REG,4,33060,17064,,3,0,0
FLOW,8,26980,26184,,3,0,0
FLOW,8,26980,26184,,3,0,0
MS5,5,9384,24012,,4,0,0
MS5,5,9384,24012,,4,0,0
REG,4,27896,23520,,3,0,0
REG,5,19000,22440,,4,0,0
REG,2,38212,17844,,4,0,0
FLOW,2,12540,11784,Workforce Development Training,4,0,1
FLOW,2,12540,11784,Workforce Development Training,4,0,1
SPHVS,3,26766,22800,,4,0,0
REG,4,23214,19584,,4,0,0
REG,4,23214,19584,,4,0,0
FLOW,1,7560,12408,,4,0,0
REG,3,22186,15888,,4,0,0
REG,2,21124,16788,,4,0,0
REG,2,8484,14604,,4,0,0
REG,2,29640,15276,,2,0,0
REG,2,29640,15276,,2,0,0
REG,3,12256,21612,Job Placement for Long Term Unemployed,4,0,1
REG,3,12256,21612,Workforce Development Training,4,0,1
REG,3,15600,16596,,4,0,0
REG,4,29163,29928,,3,0,0
REG,4,29163,29928,,3,0,0
REG,7,28994,24744,,4,0,0
HFV,1,0,13296,,4,0,0
REG,6,33519,16704,,3,0,0
REG,6,33519,16704,,3,0,0
REG,2,9396,12420,,4,0,0
REG,2,26007,26688,GED Preparation,3,0,1
REG,2,26007,26688,,3,0,0
REG,5,19344,18756,,4,0,0
REG,5,19344,18756,,4,0,0
REG,1,20787,11964,,4,0,0
REG,3,35110,11772,,0,0,0
REG,7,11743,19440,Job Placement for Long Term Unemployed,4,0,1
REG,7,11743,19440,Behavioral Health Counseling and Services,4,0,1
REG,7,11743,19440,,4,0,0
REG,2,46134,14328,,4,0,0
FLOW,1,27000,11616,,3,0,0
REG,4,30634,21012,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,4,30634,21012,,4,0,0
REG,2,11954,13884,,4,0,0
REG,3,13295,14208,,4,0,0
REG,3,16750,12408,,4,0,0
REG,3,16750,12408,,4,0,0
REG,1,31336,13896,,2,0,0
REG,3,18709,26988,,4,0,0
REG,5,26191,18648,,3,0,0
REG,1,13468,10056,,4,0,0
REG,2,8642,17688,,4,0,0
REG,2,9048,12996,,4,0,0
PHRR,2,9528,15600,,3,0,0
REG,3,23072,19800,,4,0,0
REG,3,12636,21000,,3,0,0
REG,2,16918,18336,,4,0,0
REG,2,16918,18336,,4,0,0
VASH,1,0,21876,,0,0,0
REG,4,74041,19716,,4,0,0
REG,4,74041,19716,,4,0,0
REG,4,74041,19716,,4,0,0
FLOW,2,4934,14604,,4,0,0
PHRR,1,27641,14064,,4,0,0
FLOW,1,0,12876,,4,0,0
REG,4,18980,21612,Job Placement for Long Term Unemployed,4,0,1
SPHVS,5,1860,18672,,4,0,0
REG,2,19697,11400,,4,0,0
REG,2,19697,11400,,4,0,0
REG,4,32500,24252,,2,0,0
REG,4,32500,24252,,2,0,0
REG,4,32500,24252,,2,0,0
REG,4,17933,18000,,3,0,0
REG,1,30935,16620,,3,0,0
REG,2,9000,19320,,0,0,0
REG,1,17992,13392,,4,0,0
VASH,1,13752,9528,,4,0,0
PHRR,6,42813,23400,,3,0,0
PHRR,6,42813,23400,,3,0,0
REG,3,12844,18132,,4,0,0
REG,2,14315,15420,,4,0,0
REG,5,22099,22380,,4,0,0
REG,4,13780,17580,,4,0,0
REG,1,12026,13812,,4,0,0
REG,4,32724,16776,,4,0,0
REG,4,32724,16776,,4,0,0
REG,2,13341,11784,,4,0,0
REG,6,39356,16836,,4,0,0
REG,4,15470,13728,,4,0,0
REG,2,7748,20928,,3,0,0
REG,1,20693,18624,,2,0,0
REG,3,45776,18288,,3,0,0
REG,3,45776,18288,,3,0,0
SPHVS,3,4940,13632,Job Placement for Long Term Unemployed,4,0,1
SPHVS,3,4940,13632,Workforce Development Training,4,0,1
REG,1,0,13248,Job Placement for Long Term Unemployed,4,0,1
REG,2,51715,14928,,3,0,0
REG,7,49621,27264,,4,0,0
REG,7,49621,27264,,4,0,0
REG,7,49621,27264,,4,0,0
REG,2,10284,11412,,4,0,0
REG,4,34090,26304,,4,0,0
REG,4,36376,26412,,4,0,0
REG,4,36376,26412,,4,0,0
PHRR,2,8088,19068,,4,0,0
REG,2,21067,11928,,4,0,0
REG,2,21067,11928,,4,0,0
REG,3,38032,15576,,3,0,0
REG,2,21840,14808,,2,0,0
REG,2,21840,14808,,2,0,0
REG,3,0,16752,,4,0,0
REG,3,0,16752,,4,0,0
REG,1,22272,22608,,3,0,0
REG,1,14560,16092,,4,0,0
REG,2,14880,19116,,4,0,0
REG,3,20359,19596,,3,0,0
REG,4,20259,19692,,4,0,0
PHRR,3,21625,22140,,4,0,0
PHRR,3,21625,22140,,4,0,0
PHRR,3,21625,22140,,4,0,0
REG,3,19086,23460,,4,0,0
REG,3,18216,17040,,4,0,0
REG,3,35111,14988,,4,0,0
REG,5,29103,22860,Youth Development Ed and After School Programs,4,0,1
REG,5,29103,22860,,4,0,0
REG,3,38829,18900,,4,0,0
REG,4,8320,18144,,4,0,0
REG,2,0,13728,,4,0,0
REG,1,15600,9684,,3,0,0
REG,4,14484,22968,,4,0,0
REG,2,32492,16272,,4,0,0
REG,7,19576,16080,,4,0,0
FUPF,3,25025,16932,Job Placement for Long Term Unemployed; Job Skills Training,3,0,1
REG,5,23323,26304,,3,0,0
REG,5,23323,26304,,3,0,0
REG,2,7264,15876,,4,0,0
REG,6,25402,27408,,4,0,0
REG,6,37343,28704,,3,0,0
REG,6,37343,28704,,3,0,0
REG,5,7704,18132,,4,0,0
REG,2,3600,11268,,4,0,0
REG,2,3600,11268,,4,0,0
REG,3,29972,16188,,4,0,0
REG,3,29972,16188,,4,0,0
REG,1,16988,15084,Job Skills Training,4,0,1
REG,1,12688,12696,,3,0,0
PHRR,4,750,15744,,4,0,0
PHRR,4,750,15744,,4,0,0
REG,4,27620,18372,,4,0,0
REG,5,15912,17268,,2,0,0
REG,5,15912,17268,,2,0,0
REG,2,13260,16956,,3,0,0
REG,1,12121,14388,,2,0,0
REG,4,22840,16308,,3,0,0
VASH,1,2500,19536,,1,0,0
REG,3,20220,19764,,4,0,0
REG,3,20220,19764,,4,0,0
REG,2,24700,16188,,4,0,0
REG,2,39043,19920,,4,0,0
REG,4,16236,15276,,4,0,0
REG,3,30373,16752,,4,0,0
REG,3,30373,16752,,4,0,0
REG,2,19504,16068,,4,0,0
REG,1,12480,12684,,4,0,0
REG,2,39231,19356,,4,0,0
REG,2,9768,9912,,4,0,0
FLOW,4,34378,19272,,4,0,0
REG,2,37572,13332,,4,0,0
REG,2,9528,12132,,4,0,0
REG,3,24528,12972,,4,0,0
REG,3,24528,12972,,4,0,0
VASH,1,29727,19104,,0,0,0
REG,3,16103,27456,Workforce Development Training,4,0,1
REG,3,16103,27456,Workforce Development Training,4,0,1
REG,1,18980,17856,,4,0,0
PHRR,5,16716,19356,,2,0,0
PHRR,5,16716,19356,,2,0,0
FLOW,1,8476,15144,,4,0,0
REG,2,14573,14472,,4,0,0
REG,2,9240,13272,,3,0,0
REG,1,31182,11232,,4,0,0
PHRR,1,22691,16908,,1,0,0
